Timestamp,Label,Confidence (%)
2025-04-18 14:05:19,2 normal foot,99.63
2025-04-18 14:05:21,2 normal foot,99.30
2025-04-18 14:05:21,2 normal foot,99.25
2025-04-18 14:05:22,2 normal foot,99.84
2025-04-18 14:05:22,2 normal foot,99.94
2025-04-18 14:05:22,2 normal foot,97.97
2025-04-18 14:05:23,2 normal foot,96.10
2025-04-18 14:47:06,2 normal foot,67.65
2025-04-18 14:47:09,0 Flat Foot,93.24
2025-04-18 14:47:10,2 normal foot,70.20
2025-04-18 14:47:11,0 Flat Foot,91.72
2025-04-18 14:47:11,0 Flat Foot,83.46
2025-04-18 14:47:11,0 Flat Foot,98.91
2025-04-18 14:47:12,0 Flat Foot,70.09
2025-04-18 14:47:12,0 Flat Foot,99.71
2025-04-18 14:47:13,0 Flat Foot,99.77
2025-04-18 14:47:13,0 Flat Foot,99.91
2025-04-18 14:47:13,0 Flat Foot,99.89
2025-04-18 14:47:14,0 Flat Foot,99.81
2025-04-18 14:47:49,0 Flat Foot,98.37
2025-04-18 14:47:58,0 Flat Foot,98.45
2025-04-18 14:47:58,0 Flat Foot,97.55
2025-04-18 14:47:59,0 Flat Foot,98.43
2025-04-18 14:47:59,0 Flat Foot,98.04
2025-04-18 14:48:00,0 Flat Foot,97.72
2025-04-18 14:48:00,0 Flat Foot,95.05
2025-04-18 14:48:00,0 Flat Foot,99.07
2025-04-18 14:48:01,0 Flat Foot,97.41
2025-04-18 14:48:01,0 Flat Foot,89.35
2025-04-18 14:48:04,0 Flat Foot,85.66
2025-04-18 14:48:04,0 Flat Foot,91.84
2025-04-18 14:48:05,0 Flat Foot,96.84
2025-04-18 14:48:11,0 Flat Foot,83.60
2025-04-18 14:48:11,0 Flat Foot,87.40
2025-04-18 14:51:05,2 normal foot,94.28
2025-04-18 14:51:05,2 normal foot,94.88
2025-04-18 14:51:12,2 normal foot,95.12
2025-04-18 14:51:13,2 normal foot,97.03
2025-04-18 14:51:13,2 normal foot,98.92
2025-04-18 14:51:14,2 normal foot,98.56
2025-04-18 14:51:17,0 Flat Foot,90.87
2025-04-18 14:51:18,0 Flat Foot,94.07
2025-04-18 14:51:20,0 Flat Foot,92.92
2025-04-18 14:51:21,0 Flat Foot,99.58
2025-04-18 14:51:22,0 Flat Foot,98.10
2025-04-18 14:51:22,0 Flat Foot,99.82
2025-04-18 14:51:22,0 Flat Foot,99.68
2025-04-18 14:51:23,0 Flat Foot,98.38
2025-04-18 14:51:23,0 Flat Foot,99.80
2025-04-18 14:51:23,0 Flat Foot,99.87
2025-04-18 14:51:23,0 Flat Foot,99.80
2025-04-18 14:51:24,0 Flat Foot,99.82
2025-04-18 14:51:24,0 Flat Foot,99.49
2025-04-18 14:51:24,0 Flat Foot,99.93
2025-04-18 14:51:24,0 Flat Foot,99.87
2025-04-18 14:51:52,2 normal foot,93.92
2025-04-18 14:51:53,2 normal foot,93.25
2025-04-18 14:51:53,2 normal foot,88.16
2025-04-18 14:51:53,2 normal foot,93.29
2025-04-18 14:51:54,2 normal foot,87.82
2025-04-18 14:51:54,2 normal foot,93.25
2025-04-18 14:51:54,2 normal foot,82.57
2025-04-18 14:51:57,2 normal foot,90.78
2025-04-18 14:51:58,2 normal foot,51.35
2025-04-18 14:51:58,0 Flat Foot,83.63
2025-04-18 14:51:58,0 Flat Foot,79.30
2025-04-18 14:51:58,0 Flat Foot,51.70
2025-04-18 14:51:59,2 normal foot,52.13
2025-04-18 14:51:59,0 Flat Foot,75.14
2025-04-18 14:51:59,0 Flat Foot,78.58
2025-04-18 14:51:59,0 Flat Foot,77.83
2025-04-18 14:51:59,0 Flat Foot,61.30
2025-04-18 14:52:00,2 normal foot,49.84
2025-04-18 14:52:00,0 Flat Foot,78.57
2025-04-18 14:52:00,0 Flat Foot,78.01
2025-04-18 14:52:00,0 Flat Foot,74.23
2025-04-18 14:52:00,0 Flat Foot,84.69
2025-04-18 14:54:14,2 normal foot,99.99
2025-04-18 14:54:15,2 normal foot,99.95
2025-04-18 14:54:15,2 normal foot,99.95
2025-04-18 14:54:15,2 normal foot,98.59
2025-04-18 14:54:16,2 normal foot,99.38
2025-04-18 14:54:16,2 normal foot,98.53
2025-04-18 14:54:16,2 normal foot,99.45
2025-04-18 14:54:17,2 normal foot,96.28
2025-04-18 14:54:17,2 normal foot,98.48
2025-04-18 14:54:17,2 normal foot,96.12
2025-04-18 14:54:18,2 normal foot,91.27
2025-04-18 14:54:18,0 Flat Foot,65.60
2025-04-18 14:54:18,0 Flat Foot,64.16
2025-04-18 14:54:19,0 Flat Foot,54.57
2025-04-18 14:54:29,2 normal foot,99.98
2025-04-18 14:54:29,2 normal foot,99.97
2025-04-18 14:54:29,2 normal foot,99.97
2025-04-18 14:54:29,2 normal foot,99.98
2025-04-18 14:54:30,2 normal foot,99.99
2025-04-18 14:54:30,2 normal foot,99.96
2025-04-18 14:54:30,2 normal foot,98.74
2025-04-18 14:54:31,2 normal foot,97.76
2025-04-18 14:54:31,2 normal foot,99.57
2025-04-18 14:54:31,2 normal foot,95.01
2025-04-18 14:54:31,2 normal foot,99.28
2025-04-18 14:54:31,2 normal foot,99.93
2025-04-18 14:54:32,2 normal foot,99.91
2025-04-18 14:54:32,2 normal foot,99.94
2025-04-18 14:54:32,2 normal foot,99.84
2025-04-18 14:54:32,2 normal foot,99.85
2025-04-18 14:54:33,2 normal foot,99.76
2025-04-18 14:54:33,2 normal foot,99.86
2025-04-18 14:54:33,2 normal foot,99.89
2025-04-18 14:54:33,2 normal foot,99.54
2025-04-18 14:54:33,2 normal foot,99.88
2025-04-18 14:54:33,2 normal foot,99.88
2025-04-18 14:54:33,2 normal foot,99.10
2025-04-18 14:54:34,2 normal foot,99.75
2025-04-18 14:54:34,2 normal foot,98.11
2025-04-18 14:54:34,2 normal foot,98.47
2025-04-18 14:54:39,2 normal foot,99.71
2025-04-18 14:54:39,2 normal foot,99.78
2025-04-18 14:54:40,2 normal foot,99.60
2025-04-18 14:54:40,2 normal foot,99.89
2025-04-18 14:54:40,2 normal foot,99.87
2025-04-18 14:54:40,2 normal foot,99.73
2025-04-18 14:54:41,2 normal foot,99.74
2025-04-18 15:11:54,2 normal foot,85.58
2025-04-18 15:11:57,2 normal foot,99.99
2025-04-18 15:11:58,2 normal foot,99.94
2025-04-18 15:11:58,2 normal foot,99.92
2025-04-18 15:11:59,2 normal foot,99.98
2025-04-18 15:11:59,2 normal foot,99.98
2025-04-18 15:12:00,2 normal foot,99.97
2025-04-18 15:12:01,2 normal foot,99.98
2025-04-18 15:12:01,2 normal foot,99.97
2025-04-18 15:12:02,2 normal foot,99.78
2025-04-18 15:12:02,2 normal foot,99.91
2025-04-18 15:12:03,2 normal foot,99.68
2025-04-18 15:12:03,2 normal foot,98.28
2025-04-18 15:12:04,2 normal foot,99.82
2025-04-18 15:12:04,2 normal foot,99.31
2025-04-18 15:12:04,2 normal foot,99.78
2025-04-18 15:12:04,2 normal foot,99.85
2025-04-18 15:12:05,2 normal foot,99.96
2025-04-18 15:12:05,2 normal foot,99.91
2025-04-18 15:12:05,2 normal foot,99.95
2025-04-18 15:12:06,2 normal foot,99.99
2025-04-18 15:12:06,2 normal foot,99.79
2025-04-18 15:12:07,2 normal foot,99.86
2025-04-18 15:12:07,2 normal foot,98.74
2025-04-18 15:12:08,2 normal foot,99.68
2025-04-18 15:12:09,2 normal foot,99.80
2025-04-18 15:12:15,2 normal foot,99.99
2025-04-18 15:12:15,2 normal foot,99.97
2025-04-18 15:12:16,2 normal foot,99.93
2025-04-18 15:12:16,2 normal foot,100.00
2025-04-18 15:12:16,2 normal foot,92.94
2025-04-18 15:12:17,2 normal foot,99.91
2025-04-18 15:12:17,2 normal foot,99.98
2025-04-18 15:12:18,2 normal foot,99.93
2025-04-18 15:12:21,2 normal foot,94.79
2025-04-18 15:12:21,2 normal foot,96.61
2025-04-18 15:12:22,2 normal foot,98.77
2025-04-18 15:12:22,2 normal foot,97.30
2025-04-18 15:12:22,2 normal foot,90.86
2025-04-18 15:12:23,2 normal foot,94.13
2025-04-18 15:12:23,2 normal foot,95.34
2025-04-18 15:12:23,2 normal foot,96.81
2025-04-18 15:12:23,2 normal foot,97.89
2025-04-18 15:12:23,2 normal foot,99.34
2025-04-18 15:12:24,2 normal foot,99.31
2025-04-18 15:12:24,2 normal foot,86.94
2025-04-18 15:12:24,2 normal foot,80.71
2025-04-18 15:12:25,2 normal foot,83.68
2025-04-18 15:12:25,2 normal foot,99.98
2025-04-18 15:12:25,2 normal foot,99.70
2025-04-18 15:12:26,2 normal foot,95.13
2025-04-18 15:12:27,2 normal foot,87.91
2025-04-18 15:12:27,2 normal foot,92.21
2025-04-18 15:12:27,2 normal foot,91.86
2025-04-18 15:12:28,2 normal foot,83.25
2025-04-18 15:12:28,2 normal foot,87.94
2025-04-18 15:12:28,2 normal foot,97.59
2025-04-18 15:12:29,2 normal foot,99.80
2025-04-18 15:12:29,2 normal foot,99.71
2025-04-18 15:12:29,2 normal foot,98.70
2025-04-18 15:13:40,2 normal foot,94.51
2025-04-18 15:13:42,2 normal foot,95.42
2025-04-18 15:13:42,2 normal foot,99.49
2025-04-18 15:13:43,2 normal foot,99.50
2025-04-18 15:13:43,2 normal foot,100.00
2025-04-18 15:13:43,2 normal foot,99.99
2025-04-18 15:13:43,2 normal foot,100.00
2025-04-18 15:13:44,2 normal foot,100.00
2025-04-18 15:13:44,2 normal foot,99.99
2025-04-18 15:13:44,2 normal foot,100.00
2025-04-18 15:13:45,2 normal foot,99.11
2025-04-18 15:13:45,2 normal foot,99.11
2025-04-18 15:13:45,2 normal foot,99.87
2025-04-18 15:13:45,2 normal foot,99.87
2025-04-18 15:13:45,2 normal foot,99.86
2025-04-18 15:13:45,2 normal foot,99.86
2025-04-18 15:13:45,2 normal foot,99.92
2025-04-18 15:13:45,2 normal foot,99.92
2025-04-18 15:13:45,2 normal foot,99.66
2025-04-18 15:13:45,2 normal foot,99.66
2025-04-18 15:13:45,2 normal foot,99.93
2025-04-18 15:13:45,2 normal foot,99.93
2025-04-18 15:13:45,2 normal foot,99.92
2025-04-18 15:13:46,2 normal foot,99.99
2025-04-18 15:13:46,2 normal foot,99.95
2025-04-18 15:13:46,2 normal foot,99.99
2025-04-18 15:13:46,2 normal foot,99.97
2025-04-18 15:13:47,2 normal foot,97.84
2025-04-18 15:13:47,2 normal foot,100.00
2025-04-18 15:13:47,2 normal foot,100.00
2025-04-18 15:13:47,2 normal foot,100.00
2025-04-18 15:13:48,2 normal foot,99.99
2025-04-18 15:13:48,2 normal foot,99.97
2025-04-18 15:13:48,2 normal foot,99.99
2025-04-18 15:13:57,0 Flat Foot,95.45
2025-04-18 15:14:03,2 normal foot,92.76
2025-04-18 15:14:04,0 Flat Foot,87.61
2025-04-18 15:14:05,2 normal foot,98.96
2025-04-18 15:14:05,2 normal foot,83.20
2025-04-18 15:14:06,0 Flat Foot,69.34
2025-04-18 15:14:06,0 Flat Foot,56.41
2025-04-18 15:14:07,0 Flat Foot,74.03
2025-04-18 15:14:07,0 Flat Foot,76.74
2025-04-18 15:14:07,0 Flat Foot,87.40
2025-04-18 15:14:07,0 Flat Foot,80.47
2025-04-18 15:14:08,0 Flat Foot,66.97
2025-04-18 15:14:08,0 Flat Foot,93.19
